City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,lobatse,-25.2167,25.6667,23.21,35,34,1.03,BW,1669938553
247,singkang,2.1006,102.7994,23.69,93,100,0.91,MY,1669938553
248,reconquista,-29.15,-59.65,27.17,41,93,3.94,AR,1669938553
249,broumov,50.5857,16.3318,0.64,92,92,2.41,CZ,1669938553
250,palana,59.1167,159.9667,-11.38,86,70,4.78,RU,1669938553
251,steamboat springs,40.485,-106.8317,5.77,62,0,1.54,US,1669938553
252,saint anthony,45.0205,-93.218,-0.06,64,0,6.17,US,1669938553
253,praia da vitoria,38.7333,-27.0667,13.2,71,40,12.08,PT,1669938554
254,tymovskoye,50.8456,142.655,-14.8,90,98,2.46,RU,1669938554
255,alexandria,31.2156,29.9553,15.3,74,1,2.58,EG,1669938463
256,meadow lake,34.8014,-106.5436,13.04,34,15,4.8,US,1669938554
257,tabou,4.423,-7.3528,25.4,85,100,2.08,CI,1669938554
258,monywa,22.1167,95.1333,21.13,84,0,1.89,MM,1669938554
259,balad,34.0164,44.1453,16.11,63,0,3.25,IQ,1669938554
260,dingle,10.9995,122.6711,26.23,88,83,5.23,PH,1669938555
261,bairiki,1.3292,172.9752,30.0,70,20,8.75,KI,1669938555
262,iki-burul,45.8208,44.6472,-2.69,78,26,7.24,RU,1669938555
263,san patricio,28.017,-97.5169,16.93,85,99,5.94,US,1669938555
264,yaan,7.3833,8.5667,24.73,29,82,0.88,NG,1669938556
265,privolzhye,52.8649,48.6044,-8.94,96,64,2.38,RU,1669938556
266,bilibino,68.0546,166.4372,-13.7,99,100,0.8,RU,1669938556
267,saint-augustin,51.226,-58.6502,1.03,96,100,7.46,CA,1669938556
268,san ignacio,17.1561,-89.0714,26.08,83,40,2.06,BZ,1669938557
269,ariquemes,-9.9133,-63.0408,23.83,92,81,0.73,BR,1669938557
270,lifford,54.8319,-7.4836,7.35,84,100,4.19,IE,1669938428
271,ikungi,-5.1333,34.7667,18.25,70,100,2.85,TZ,1669938557
272,nizhniy odes,63.6445,54.856,-23.24,100,96,1.9,RU,1669938557
273,sitka,57.0531,-135.33,-1.06,80,100,6.69,US,1669938557
274,ryotsu,38.0833,138.4333,3.27,89,100,5.84,JP,1669938558
275,mokhsogollokh,61.4681,128.9203,-29.19,97,100,1.08,RU,1669938558
276,elat,29.5581,34.9482,16.91,59,0,5.14,IL,1669938541
277,victor harbor,-35.5667,138.6167,25.38,71,0,3.23,AU,1669938558
278,pitkyaranta,61.5734,31.4792,-5.04,88,100,2.64,RU,1669938558
279,alofi,-19.0595,-169.9187,29.94,74,67,3.6,NU,1669938558
280,madang,-5.2246,145.7966,28.58,71,100,2.88,PG,1669938558
281,shetpe,44.1667,52.1167,-3.58,28,0,2.58,KZ,1669938559
282,port hawkesbury,45.6169,-61.3485,2.77,76,40,9.83,CA,1669938559
283,keskin,39.6731,33.6136,6.31,94,92,1.95,TR,1669938559
284,karatau,43.1667,70.4667,-3.96,75,3,1.16,KZ,1669938559
285,caravelas,-17.7125,-39.2481,24.09,90,100,4.44,BR,1669938559
286,fortuna,40.5982,-124.1573,7.19,87,40,0.0,US,1669938560
287,tamsalu,59.1586,26.1153,-6.53,94,100,1.91,EE,1669938560
288,carnarvon,-24.8667,113.6333,21.97,70,0,5.69,AU,1669938560
289,dwarka,22.2394,68.9678,22.99,55,0,2.93,IN,1669938560
290,gombong,-7.6072,109.5142,25.93,81,96,1.22,ID,1669938560
291,high prairie,55.4334,-116.4858,-22.67,98,79,0.72,CA,1669938560
292,lorengau,-2.0226,147.2712,29.28,68,100,1.9,PG,1669938560
293,kiama,-34.6833,150.8667,20.21,81,87,0.45,AU,1669938561
294,tateyama,34.9833,139.8667,11.72,60,100,7.18,JP,1669938561
295,lisakovsk,52.5369,62.4936,-15.15,90,100,4.79,KZ,1669938562
296,esperance,-33.8667,121.9,18.3,78,100,6.24,AU,1669938562
297,yenagoa,4.9247,6.2642,25.14,87,100,1.42,NG,1669938562
298,ostrovnoy,68.0531,39.5131,-2.97,92,100,5.15,RU,1669938562
299,severo-kurilsk,50.6789,156.125,-1.34,68,85,6.39,RU,1669938562
300,pontes e lacerda,-15.2261,-59.3353,20.19,98,100,1.13,BR,1669938562
301,codrington,-38.2667,141.9667,16.52,64,11,2.87,AU,1669938562
302,vozhega,60.4725,40.2213,-11.59,91,100,1.05,RU,1669938562
303,talcahuano,-36.7167,-73.1167,16.82,55,0,7.72,CL,1669938519
304,shah alam,3.0851,101.5328,25.09,94,20,0.0,MY,1669938563
305,pasni,25.2631,63.471,22.86,43,79,2.89,PK,1669938563
306,oromocto,45.8351,-66.4792,0.08,59,20,5.14,CA,1669938563
307,namatanai,-3.6667,152.4333,29.71,66,99,2.32,PG,1669938563
308,sagua de tanamo,20.5819,-75.2414,23.96,85,7,3.46,CU,1669938563
309,baiyin,36.5583,104.2081,-7.62,39,23,0.79,CN,1669938563
310,murmashi,68.8154,32.8115,-2.77,100,75,1.0,RU,1669938564
311,naberera,-4.2,36.9333,17.1,84,81,3.42,TZ,1669938564
312,kalinovskaya,43.5758,45.5192,5.6,71,99,6.57,RU,1669938564
313,san andres,12.5847,-81.7006,28.01,78,20,4.12,CO,1669938564
314,basco,20.4487,121.9702,26.03,83,98,9.45,PH,1669938565
315,sur,22.5667,59.5289,22.7,46,84,2.61,OM,1669938565
316,fare,-16.7,-151.0167,27.04,77,82,8.19,PF,1669938565
317,el tigre,8.8875,-64.2454,25.55,61,60,3.82,VE,1669938565
318,maridi,4.9158,29.4742,20.72,86,61,1.86,SS,1669938566
319,novopokrovka,49.8425,36.5477,-1.79,46,100,6.19,UA,1669938566
320,lodja,-3.4833,23.4333,19.56,100,100,0.58,CD,1669938566
321,calabozo,8.9242,-67.4293,24.44,67,47,2.96,VE,1669938566
322,terrace,54.5163,-128.6035,-11.05,48,100,10.29,CA,1669938567
323,bathsheba,13.2167,-59.5167,27.34,88,40,8.23,BB,1669938567
324,maceio,-9.6658,-35.7353,25.69,83,75,3.6,BR,1669938543
325,tessalit,20.1986,1.0114,21.9,20,93,1.94,ML,1669938567
326,tazovskiy,67.4667,78.7,-19.52,98,98,4.75,RU,1669938568
327,namibe,-15.1961,12.1522,21.36,76,100,2.95,AO,1669938568
328,hualmay,-11.0964,-77.6139,20.09,83,9,3.73,PE,1669938568
329,marsh harbour,26.5412,-77.0636,25.06,73,37,11.21,BS,1669938568
330,olafsvik,64.8945,-23.7142,5.76,77,88,11.8,IS,1669938568
331,gashua,12.871,11.0482,21.38,19,53,4.25,NG,1669938569
332,pozo colorado,-23.4923,-58.7972,21.93,93,88,2.56,PY,1669938569
333,durango,24.8333,-104.8333,19.98,35,22,2.39,MX,1669938569
334,vieste,41.8825,16.175,12.58,76,97,3.81,IT,1669938569
335,tieling,42.2931,123.8414,-9.17,45,1,3.95,CN,1669938570
336,rochester,43.1548,-77.6156,0.35,69,75,7.2,US,1669938571
337,setermoen,68.861,18.3486,-2.02,91,76,2.68,NO,1669938571
338,paamiut,61.994,-49.6678,-9.15,59,38,3.23,GL,1669938571
339,carballo,43.213,-8.691,8.28,82,42,1.62,ES,1669938571
340,belaya gora,68.5333,146.4167,-22.6,98,100,5.01,RU,1669938571
341,nome,64.5011,-165.4064,-4.96,86,100,6.17,US,1669938571
342,akcaabat,41.0212,39.5715,13.93,94,75,5.14,TR,1669938572
343,honningsvag,70.9821,25.9704,2.86,93,100,0.0,NO,1669938572
344,tuktoyaktuk,69.4541,-133.0374,-18.0,78,100,5.66,CA,1669938572
345,nishihara,26.1842,127.7558,18.6,83,100,8.23,JP,1669938572
346,baijiantan,45.6333,85.1833,-9.4,50,90,0.41,CN,1669938573
347,cap malheureux,-19.9842,57.6142,23.04,75,6,4.02,MU,1669938573
348,banon,40.8382,-1.1909,6.59,87,75,1.54,ES,1669938573
349,ningbo,29.8782,121.5495,1.99,93,100,4.0,CN,1669938573
350,harper,4.375,-7.7169,25.24,86,99,1.89,LR,1669938573
351,itaqui,-29.1253,-56.5531,26.93,52,74,4.24,BR,1669938573
352,tanout,14.9709,8.8879,18.82,26,13,4.65,NE,1669938573
353,san joaquin,37.9333,-121.3011,9.5,91,100,3.6,US,1669938574
354,pombia,45.653,8.6336,6.28,89,40,2.06,IT,1669938574
355,deputatskiy,69.3,139.9,-26.8,96,100,3.66,RU,1669938574
356,bose,45.4612,8.0137,5.11,77,57,1.03,IT,1669938574
